Title: A Companionship Study of the Hipparcos-Gaia Catalog of Accelerations using Direct Imaging with NIRC2 at Keck
Authors: Schonhut-Stasik J.S., Dupuy T.
Table: Astrometric Accelerations for All HGCA-KOA Stars 
================================================================================
Column	Parameter			Unit
--------------------------------------------------------------------------------
1	HIP ID				dimensionless
2	RA Acceleration 		m/s/yr	
3	RA Acceleration error		m/s/yr
4	Dec Acceleration 		m/s/yr
5	Dec Acceleration error		m/s/yr
6	Astrometric acceleration	m/s/yr
7	Astrometric acceleration error	m/s/yr
--------------------------------------------------------------------------------
hip_id,accel_ra,ra_err,accel_dec,dec_err,acceleration,accel_err
8387,428.35,14.62,235.12,7.85,488.64,14.07
58684,145.31,8.10,216.70,4.71,260.91,6.40
14669,-38.18,20.48,-258.70,12.60,261.50,13.16
39816,-6.45,3.95,9.12,1.67,11.17,2.14
50303,40.88,13.88,147.14,6.99,152.71,8.45
27253,4.17,2.89,-11.03,1.70,11.79,1.77
50316,-12.29,1.68,-19.61,0.89,23.14,1.28
94349,-79.48,12.73,-103.17,8.37,130.24,10.65
56633,177.25,21.61,-101.01,11.16,204.01,18.33
14702,92.27,15.31,52.46,10.44,106.14,14.62
83874,17.70,3.29,4.61,1.45,18.29,3.34
14721,17.44,3.94,-8.38,1.99,19.35,3.45
58744,-277.41,41.61,6.88,21.83,277.50,41.48
83898,-187.99,39.48,-149.58,18.52,240.24,36.08
14729,-45.40,1.51,-66.16,0.94,80.24,1.22
12635,-5.72,11.41,7.34,6.00,9.31,7.58
12638,43.55,34.46,169.38,20.39,174.89,22.62
92312,0.48,5.99,54.75,4.32,54.75,4.32
50372,200.32,16.52,-22.53,11.69,201.58,16.39
98578,-45.09,6.55,201.61,3.50,206.59,3.43
96501,-198.54,42.05,-57.65,21.51,206.74,42.19
21008,-114.51,8.05,144.96,2.80,184.73,4.04
27331,-136.54,23.57,51.62,13.23,145.98,21.74
8486,-94.02,2.74,163.92,1.79,188.97,1.97
104887,-206.58,10.03,-34.59,6.26,209.45,10.06
46199,93.92,17.71,-25.92,10.57,97.43,16.92
60910,-94.18,14.07,218.82,8.65,238.23,9.13
42028,55.94,10.21,-39.50,4.24,68.48,7.66
42030,2.22,2.92,12.05,1.06,12.25,1.41
79796,175.03,6.18,106.35,3.34,204.80,5.88
143,-69.77,11.50,-52.36,4.56,87.23,10.74
109110,322.74,2.21,288.63,1.51,432.98,2.00
8553,-34.69,9.76,9.24,4.71,35.91,9.17
12740,39.10,7.69,80.28,4.74,89.29,5.74
77740,-5.46,2.62,-45.24,1.54,45.57,1.60
42074,-14.14,1.16,-17.97,0.44,22.87,0.95
98677,5.27,0.69,0.34,0.37,5.28,0.70
54677,-349.49,12.89,-48.04,5.95,352.77,13.05
100784,8.34,21.96,213.01,14.01,213.17,14.11
52600,-2.59,2.34,21.51,2.42,21.67,2.41
107062,-84.49,1.70,170.56,1.30,190.34,1.36
14864,-23.43,27.15,-224.86,17.33,226.08,17.74
79860,-48.28,16.32,88.36,7.46,100.69,8.43
81952,-69.41,18.41,-253.23,10.48,262.57,11.91
67275,49.49,7.26,41.79,3.30,64.77,6.56
6512,135.77,9.04,128.00,4.57,186.60,7.94
71478,-118.53,3.46,-97.46,3.17,153.45,3.35
90365,9.99,2.22,-24.49,1.41,26.45,1.48
12803,53.88,20.52,-59.87,12.28,80.54,15.42
113421,-1.90,1.59,2.90,0.58,3.46,0.72
77810,-103.28,2.21,-140.71,1.32,174.54,1.79
4436,151.12,36.07,249.69,21.95,291.86,28.10
10732,341.75,26.60,-56.13,14.64,346.33,25.92
23277,-7.42,4.41,-9.10,1.85,11.74,3.61
56876,-197.22,2.96,145.02,1.49,244.80,2.33
102975,86.39,16.97,33.82,7.79,92.78,16.93
84132,-35.91,4.63,5.03,2.29,36.26,4.52
61100,18.71,5.67,-280.56,3.36,281.18,3.32
98819,31.58,1.00,-48.53,0.58,57.90,0.67
42214,-12.65,1.47,0.43,0.84,12.66,1.47
42220,12.07,2.47,123.95,3.57,124.54,3.58
84171,-7.06,1.37,-3.51,0.90,7.88,1.32
21251,-241.46,21.61,-54.01,6.56,247.43,22.25
48537,-8.75,2.57,18.90,1.44,20.83,1.54
71618,25.44,7.81,9.09,4.66,27.01,7.73
48546,179.28,13.20,13.50,7.25,179.79,13.28
77933,191.33,6.88,-306.73,5.53,361.51,5.87
29700,-559.54,64.95,-25.85,31.03,560.13,65.31
